config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.001_bs64_dr0.15_ls0.15,42,99,0.7032,0.9959,0.6994,0.9972,31.09
lr0.001_bs64_dr0.15_ls0.15,42,100,0.7033,0.9955,0.6995,0.9972,31.10
lr0.001_bs64_dr0.1_ls0.1,42,1,1.3743,0.8013,0.6949,0.9554,31.18
lr0.001_bs64_dr0.1_ls0.1,42,2,0.6969,0.9464,0.5909,0.9838,31.22
lr0.001_bs64_dr0.1_ls0.1,42,3,0.6428,0.9626,0.5799,0.9860,31.08
lr0.001_bs64_dr0.1_ls0.1,42,4,0.6178,0.9680,0.5692,0.9867,31.12
lr0.001_bs64_dr0.1_ls0.1,42,5,0.5999,0.9731,0.5624,0.9871,31.24
lr0.001_bs64_dr0.1_ls0.1,42,6,0.5898,0.9755,0.5602,0.9892,31.09
lr0.001_bs64_dr0.1_ls0.1,42,7,0.5825,0.9761,0.5341,0.9936,31.11
lr0.001_bs64_dr0.1_ls0.1,42,8,0.5747,0.9792,0.5384,0.9917,31.12
lr0.001_bs64_dr0.1_ls0.1,42,9,0.5699,0.9791,0.5312,0.9917,31.18
lr0.001_bs64_dr0.1_ls0.1,42,10,0.5664,0.9798,0.5276,0.9938,31.25
lr0.001_bs64_dr0.1_ls0.1,42,11,0.5614,0.9815,0.5255,0.9932,31.13
lr0.001_bs64_dr0.1_ls0.1,42,12,0.5576,0.9825,0.5260,0.9937,31.25
lr0.001_bs64_dr0.1_ls0.1,42,13,0.5536,0.9839,0.5243,0.9937,31.13
lr0.001_bs64_dr0.1_ls0.1,42,14,0.5542,0.9828,0.5302,0.9915,31.09
lr0.001_bs64_dr0.1_ls0.1,42,15,0.5506,0.9843,0.5194,0.9953,31.04
lr0.001_bs64_dr0.1_ls0.1,42,16,0.5476,0.9850,0.5226,0.9949,31.21
lr0.001_bs64_dr0.1_ls0.1,42,17,0.5460,0.9855,0.5170,0.9947,31.23
lr0.001_bs64_dr0.1_ls0.1,42,18,0.5457,0.9856,0.5175,0.9958,31.19
lr0.001_bs64_dr0.1_ls0.1,42,19,0.5433,0.9856,0.5194,0.9954,31.14
lr0.001_bs64_dr0.1_ls0.1,42,20,0.5430,0.9856,0.5183,0.9937,31.02
lr0.001_bs64_dr0.1_ls0.1,42,21,0.5412,0.9865,0.5188,0.9945,31.13
lr0.001_bs64_dr0.1_ls0.1,42,22,0.5390,0.9876,0.5167,0.9955,31.03
lr0.001_bs64_dr0.1_ls0.1,42,23,0.5398,0.9867,0.5141,0.9962,31.05
lr0.001_bs64_dr0.1_ls0.1,42,24,0.5354,0.9884,0.5141,0.9955,30.99
lr0.001_bs64_dr0.1_ls0.1,42,25,0.5346,0.9888,0.5129,0.9961,31.29
lr0.001_bs64_dr0.1_ls0.1,42,26,0.5349,0.9886,0.5174,0.9954,31.02
lr0.001_bs64_dr0.1_ls0.1,42,27,0.5344,0.9883,0.5191,0.9935,31.17
lr0.001_bs64_dr0.1_ls0.1,42,28,0.5321,0.9890,0.5162,0.9953,31.23
lr0.001_bs64_dr0.1_ls0.1,42,29,0.5325,0.9892,0.5147,0.9952,31.02
lr0.001_bs64_dr0.1_ls0.1,42,30,0.5305,0.9902,0.5134,0.9962,31.16
lr0.001_bs64_dr0.1_ls0.1,42,31,0.5325,0.9888,0.5151,0.9960,31.12
lr0.001_bs64_dr0.1_ls0.1,42,32,0.5304,0.9897,0.5125,0.9961,31.12
lr0.001_bs64_dr0.1_ls0.1,42,33,0.5289,0.9906,0.5116,0.9966,31.21
lr0.001_bs64_dr0.1_ls0.1,42,34,0.5276,0.9905,0.5117,0.9967,31.21
lr0.001_bs64_dr0.1_ls0.1,42,35,0.5288,0.9905,0.5136,0.9955,31.38
lr0.001_bs64_dr0.1_ls0.1,42,36,0.5279,0.9906,0.5109,0.9964,31.16
lr0.001_bs64_dr0.1_ls0.1,42,37,0.5276,0.9905,0.5117,0.9963,31.36
lr0.001_bs64_dr0.1_ls0.1,42,38,0.5272,0.9910,0.5130,0.9956,31.25
lr0.001_bs64_dr0.1_ls0.1,42,39,0.5254,0.9915,0.5137,0.9956,31.21
lr0.001_bs64_dr0.1_ls0.1,42,40,0.5269,0.9904,0.5126,0.9961,31.06
lr0.001_bs64_dr0.1_ls0.1,42,41,0.5253,0.9913,0.5115,0.9965,31.28
lr0.001_bs64_dr0.1_ls0.1,42,42,0.5252,0.9914,0.5124,0.9964,31.30
lr0.001_bs64_dr0.1_ls0.1,42,43,0.5241,0.9916,0.5099,0.9963,31.22
lr0.001_bs64_dr0.1_ls0.1,42,44,0.5239,0.9914,0.5117,0.9964,31.23
lr0.001_bs64_dr0.1_ls0.1,42,45,0.5242,0.9914,0.5100,0.9972,31.09
lr0.001_bs64_dr0.1_ls0.1,42,46,0.5236,0.9915,0.5106,0.9968,31.03
lr0.001_bs64_dr0.1_ls0.1,42,47,0.5226,0.9920,0.5109,0.9957,31.17
lr0.001_bs64_dr0.1_ls0.1,42,48,0.5223,0.9924,0.5114,0.9967,31.14
lr0.001_bs64_dr0.1_ls0.1,42,49,0.5220,0.9926,0.5106,0.9966,31.10
lr0.001_bs64_dr0.1_ls0.1,42,50,0.5214,0.9926,0.5102,0.9962,31.16
lr0.001_bs64_dr0.1_ls0.1,42,51,0.5198,0.9933,0.5112,0.9962,31.23
lr0.001_bs64_dr0.1_ls0.1,42,52,0.5198,0.9929,0.5093,0.9968,31.43
lr0.001_bs64_dr0.1_ls0.1,42,53,0.5204,0.9932,0.5096,0.9968,31.18
lr0.001_bs64_dr0.1_ls0.1,42,54,0.5201,0.9928,0.5094,0.9968,31.25
lr0.001_bs64_dr0.1_ls0.1,42,55,0.5190,0.9934,0.5087,0.9972,31.24
lr0.001_bs64_dr0.1_ls0.1,42,56,0.5185,0.9935,0.5110,0.9961,31.24
lr0.001_bs64_dr0.1_ls0.1,42,57,0.5188,0.9936,0.5101,0.9970,31.24
lr0.001_bs64_dr0.1_ls0.1,42,58,0.5185,0.9937,0.5099,0.9971,31.34
lr0.001_bs64_dr0.1_ls0.1,42,59,0.5187,0.9935,0.5106,0.9965,31.15
lr0.001_bs64_dr0.1_ls0.1,42,60,0.5182,0.9938,0.5097,0.9964,31.27
lr0.001_bs64_dr0.1_ls0.1,42,61,0.5189,0.9931,0.5088,0.9972,31.16
lr0.001_bs64_dr0.1_ls0.1,42,62,0.5184,0.9938,0.5092,0.9967,31.16
lr0.001_bs64_dr0.1_ls0.1,42,63,0.5169,0.9940,0.5104,0.9970,31.21
lr0.001_bs64_dr0.1_ls0.1,42,64,0.5162,0.9945,0.5096,0.9965,31.11
lr0.001_bs64_dr0.1_ls0.1,42,65,0.5166,0.9940,0.5087,0.9968,31.12
lr0.001_bs64_dr0.1_ls0.1,42,66,0.5158,0.9946,0.5087,0.9969,31.17
lr0.001_bs64_dr0.1_ls0.1,42,67,0.5164,0.9944,0.5096,0.9968,31.35
lr0.001_bs64_dr0.1_ls0.1,42,68,0.5162,0.9943,0.5092,0.9966,31.18
lr0.001_bs64_dr0.1_ls0.1,42,69,0.5152,0.9946,0.5093,0.9964,31.20
lr0.001_bs64_dr0.1_ls0.1,42,70,0.5146,0.9949,0.5089,0.9971,31.17
lr0.001_bs64_dr0.1_ls0.1,42,71,0.5145,0.9949,0.5084,0.9973,31.17
lr0.001_bs64_dr0.1_ls0.1,42,72,0.5142,0.9951,0.5088,0.9969,31.08
lr0.001_bs64_dr0.1_ls0.1,42,73,0.5154,0.9947,0.5093,0.9966,31.18
lr0.001_bs64_dr0.1_ls0.1,42,74,0.5146,0.9948,0.5092,0.9966,31.08
lr0.001_bs64_dr0.1_ls0.1,42,75,0.5142,0.9949,0.5088,0.9969,31.16
lr0.001_bs64_dr0.1_ls0.1,42,76,0.5142,0.9951,0.5089,0.9969,30.96
lr0.001_bs64_dr0.1_ls0.1,42,77,0.5143,0.9949,0.5097,0.9969,31.15
lr0.001_bs64_dr0.1_ls0.1,42,78,0.5142,0.9949,0.5087,0.9972,31.25
lr0.001_bs64_dr0.1_ls0.1,42,79,0.5148,0.9949,0.5086,0.9968,31.04
lr0.001_bs64_dr0.1_ls0.1,42,80,0.5143,0.9951,0.5083,0.9971,31.09
lr0.001_bs64_dr0.1_ls0.1,42,81,0.5134,0.9956,0.5088,0.9973,31.03
lr0.001_bs64_dr0.1_ls0.1,42,82,0.5128,0.9957,0.5084,0.9972,31.19
lr0.001_bs64_dr0.1_ls0.1,42,83,0.5128,0.9958,0.5086,0.9969,30.95
lr0.001_bs64_dr0.1_ls0.1,42,84,0.5129,0.9955,0.5082,0.9972,31.39
lr0.001_bs64_dr0.1_ls0.1,42,85,0.5124,0.9957,0.5083,0.9973,31.13
lr0.001_bs64_dr0.1_ls0.1,42,86,0.5124,0.9959,0.5086,0.9971,31.33
lr0.001_bs64_dr0.1_ls0.1,42,87,0.5130,0.9958,0.5082,0.9972,31.14
lr0.001_bs64_dr0.1_ls0.1,42,88,0.5121,0.9958,0.5081,0.9971,31.12
lr0.001_bs64_dr0.1_ls0.1,42,89,0.5134,0.9953,0.5083,0.9974,31.14
lr0.001_bs64_dr0.1_ls0.1,42,90,0.5119,0.9960,0.5082,0.9973,31.15
lr0.001_bs64_dr0.1_ls0.1,42,91,0.5128,0.9952,0.5083,0.9972,31.18
lr0.001_bs64_dr0.1_ls0.1,42,92,0.5128,0.9956,0.5083,0.9972,31.11
lr0.001_bs64_dr0.1_ls0.1,42,93,0.5133,0.9954,0.5083,0.9972,31.22
