config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.001_bs64_dr0.0_ls0.0,42,85,0.0012,0.9996,0.0232,0.9944,30.62
lr0.001_bs64_dr0.0_ls0.0,42,86,0.0011,0.9997,0.0232,0.9947,30.65
lr0.001_bs64_dr0.0_ls0.0,42,87,0.0011,0.9997,0.0253,0.9946,30.74
lr0.001_bs64_dr0.0_ls0.0,42,88,0.0008,0.9998,0.0244,0.9950,31.00
lr0.001_bs64_dr0.0_ls0.0,42,89,0.0008,0.9998,0.0222,0.9955,30.96
lr0.001_bs64_dr0.0_ls0.0,42,90,0.0010,0.9997,0.0240,0.9944,31.00
lr0.001_bs64_dr0.0_ls0.0,42,91,0.0009,0.9998,0.0224,0.9960,31.00
lr0.001_bs64_dr0.0_ls0.0,42,92,0.0008,0.9998,0.0229,0.9955,30.96
lr0.001_bs64_dr0.0_ls0.0,42,93,0.0007,0.9998,0.0251,0.9947,30.86
lr0.001_bs64_dr0.0_ls0.0,42,94,0.0014,0.9997,0.0218,0.9953,30.82
lr0.001_bs64_dr0.0_ls0.0,42,95,0.0010,0.9997,0.0249,0.9944,30.64
lr0.001_bs64_dr0.0_ls0.0,42,96,0.0007,0.9998,0.0255,0.9950,30.80
lr0.001_bs64_dr0.0_ls0.0,42,97,0.0011,0.9997,0.0256,0.9943,31.10
lr0.001_bs64_dr0.0_ls0.0,42,98,0.0011,0.9997,0.0251,0.9952,31.09
lr0.001_bs64_dr0.0_ls0.0,42,99,0.0006,0.9999,0.0243,0.9948,31.14
lr0.001_bs64_dr0.0_ls0.0,42,100,0.0009,0.9997,0.0235,0.9950,31.09
lr0.001_bs64_dr0.0_ls0.1,42,1,3.4558,0.3461,1.8563,0.6306,31.33
lr0.001_bs64_dr0.0_ls0.1,42,2,1.3476,0.8203,1.1547,0.8886,31.33
lr0.001_bs64_dr0.0_ls0.1,42,3,1.0498,0.9216,1.0195,0.9269,31.26
lr0.001_bs64_dr0.0_ls0.1,42,4,0.9514,0.9492,0.9332,0.9531,31.25
lr0.001_bs64_dr0.0_ls0.1,42,5,0.8986,0.9625,0.8801,0.9673,31.51
lr0.001_bs64_dr0.0_ls0.1,42,6,0.8632,0.9701,0.8753,0.9623,31.48
lr0.001_bs64_dr0.0_ls0.1,42,7,0.8392,0.9744,0.8395,0.9702,31.47
lr0.001_bs64_dr0.0_ls0.1,42,8,0.8195,0.9778,0.8326,0.9715,31.43
lr0.001_bs64_dr0.0_ls0.1,42,9,0.8064,0.9802,0.8134,0.9730,31.46
lr0.001_bs64_dr0.0_ls0.1,42,10,0.7930,0.9820,0.7966,0.9771,31.44
lr0.001_bs64_dr0.0_ls0.1,42,11,0.7840,0.9825,0.7844,0.9796,31.43
lr0.001_bs64_dr0.0_ls0.1,42,12,0.7771,0.9843,0.7837,0.9801,31.43
lr0.001_bs64_dr0.0_ls0.1,42,13,0.7692,0.9853,0.7709,0.9837,31.39
lr0.001_bs64_dr0.0_ls0.1,42,14,0.7598,0.9870,0.7688,0.9825,31.44
lr0.001_bs64_dr0.0_ls0.1,42,15,0.7568,0.9875,0.7626,0.9833,31.44
lr0.001_bs64_dr0.0_ls0.1,42,16,0.7518,0.9882,0.7615,0.9836,31.39
lr0.001_bs64_dr0.0_ls0.1,42,17,0.7470,0.9895,0.7589,0.9841,31.37
lr0.001_bs64_dr0.0_ls0.1,42,18,0.7434,0.9899,0.7596,0.9844,31.39
lr0.001_bs64_dr0.0_ls0.1,42,19,0.7397,0.9907,0.7489,0.9865,31.17
lr0.001_bs64_dr0.0_ls0.1,42,20,0.7383,0.9904,0.7418,0.9880,31.16
lr0.001_bs64_dr0.0_ls0.1,42,21,0.7370,0.9908,0.7426,0.9867,31.15
lr0.001_bs64_dr0.0_ls0.1,42,22,0.7343,0.9912,0.7426,0.9867,31.13
lr0.001_bs64_dr0.0_ls0.1,42,23,0.7328,0.9912,0.7413,0.9864,31.14
lr0.001_bs64_dr0.0_ls0.1,42,24,0.7287,0.9925,0.7388,0.9867,31.11
lr0.001_bs64_dr0.0_ls0.1,42,25,0.7270,0.9928,0.7424,0.9877,31.09
lr0.001_bs64_dr0.0_ls0.1,42,26,0.7280,0.9925,0.7334,0.9893,31.11
lr0.001_bs64_dr0.0_ls0.1,42,27,0.7242,0.9935,0.7341,0.9890,31.10
lr0.001_bs64_dr0.0_ls0.1,42,28,0.7244,0.9931,0.7276,0.9913,31.10
lr0.001_bs64_dr0.0_ls0.1,42,29,0.7227,0.9935,0.7330,0.9889,31.06
lr0.001_bs64_dr0.0_ls0.1,42,30,0.7227,0.9934,0.7321,0.9894,31.06
lr0.001_bs64_dr0.0_ls0.1,42,31,0.7190,0.9945,0.7317,0.9890,31.08
lr0.001_bs64_dr0.0_ls0.1,42,32,0.7209,0.9937,0.7273,0.9910,30.94
lr0.001_bs64_dr0.0_ls0.1,42,33,0.7200,0.9937,0.7269,0.9913,30.93
lr0.001_bs64_dr0.0_ls0.1,42,34,0.7204,0.9938,0.7346,0.9873,30.92
lr0.001_bs64_dr0.0_ls0.1,42,35,0.7155,0.9951,0.7242,0.9913,30.91
lr0.001_bs64_dr0.0_ls0.1,42,36,0.7164,0.9946,0.7309,0.9890,30.71
lr0.001_bs64_dr0.0_ls0.1,42,37,0.7159,0.9950,0.7249,0.9908,30.73
lr0.001_bs64_dr0.0_ls0.1,42,38,0.7157,0.9949,0.7276,0.9905,30.81
lr0.001_bs64_dr0.0_ls0.1,42,39,0.7137,0.9952,0.7213,0.9916,30.96
lr0.001_bs64_dr0.0_ls0.1,42,40,0.7142,0.9952,0.7347,0.9882,30.90
